item_number,item_name,sentence_intro,sentence_guess1,sentence_guess2,sentence_outcome1,sentence_outcome2,question,disjunction_type,outcome,type,condition,imgur_intro,imgur_guess,imgur_outcome
1,t1,Laura decided to start a garden.,Her sister makes a guess:,'She will plant either a cherry or an apple tree.',Here's what happened: ,She planted both.,Was the guess right?,complex,both,test_item,target,https://i.imgur.com/NIphmXV.jpg,https://imgur.com/Pb96ojz.jpg,https://i.imgur.com/o7pqzPw.jpg
2,t2,Rachel is invited to a gala.,Her aunt makes a guess:,'She will wear either a necklace or a hat.',Here's what happened:,She wore only the necklace.,Was the guess right?,complex,only one,test_item,control_true,https://i.imgur.com/MrBvA1f.jpg,https://imgur.com/Pb96ojz.jpg,https://i.imgur.com/0i7tATb.jpg
3,t3,John is going to the market.,His roommate makes a guess:,'He will buy either a zucchini or a pumpkin.',Here's what happened:,He bought an eggplant.,Was the guess right?,complex,neither,test_item,control_false,https://i.imgur.com/NZd5Sb7.jpg,https://imgur.com/Pb96ojz.jpg,https://imgur.com/eeV2dg6.jpg
4,t4,Amelia is going to her cousin's birthday party.,Her cousin makes a guess:,'She will bring either flowers or balloons.',Here's what happened:,She brought both.,Was the guess right?,complex,both,test_item,target,https://i.imgur.com/zAHZbVz.jpg,https://imgur.com/Pb96ojz.jpg,https://i.imgur.com/Lj4lLba.jpg
5,t5,Mike is planning to go for a walk.,His sister makes a guess:,'He will put on either a hat or a scarf.',Here's what happened:,He only put on a scarf.,Was the guess right?,complex,only one,test_item,control_true,https://i.imgur.com/0y8KTWF.jpg,https://imgur.com/Pb96ojz.jpg,https://i.imgur.com/MI6h3HD.jpg
6,t6,Oscar can hear knocking at the door.,His colleague makes a guess:,'It will be either his mom or his sister.',Here's what happened:,John is at the door.,Was the guess right?,complex,neither,test_item,control_false,https://i.imgur.com/2JCkajI.jpg,https://imgur.com/Pb96ojz.jpg,https://i.imgur.com/iWLfkcX.jpg
7,t7,Jen's wedding has a blue theme. ,Her sister makes a guess:,'Her friend will wear either a blue dress or blue shoes.',Here's what happened:,She wore both.,Was the guess right?,complex,both,test_item,target,https://i.imgur.com/6x0YWqd.jpg,https://imgur.com/Pb96ojz.jpg,https://i.imgur.com/zrOKuhE.jpg
8,t8,Gabe has a day off.,His best friend makes a guess:,'He will either knit or paint.',Here's what happened:,He only knitted.,Was the guess right?,complex,only one,test_item,control_true,https://i.imgur.com/vfRxBfL.jpg,https://imgur.com/Pb96ojz.jpg,https://i.imgur.com/ArUVdlb.jpg
9,t9,Charlie loves playing with his toys.,His grandma makes a guess:,'He will play with either the car or the train.',Here's what happened:,He played with the airplane.,Was the guess right?,complex,neither,test_item,control_false,https://i.imgur.com/oV1N8gF.jpg,https://imgur.com/Pb96ojz.jpg,https://i.imgur.com/g750pPU.jpg
10,f1,It's the first day of school. ,Her mom makes a guess:,'Some of the children will bring a flower.',Here's what happened:,They all brought flowers.,Was the guess right?,quantifier,all,filler_item,target,https://i.imgur.com/sMGaH2o.jpg,https://imgur.com/Pb96ojz.jpg,https://i.imgur.com/UhaKc1g.jpg
11,f2,Benny woke up from a nap.,His babysitter makes a guess:,'He will play with some of his toys.',Here's what happened:,He played with two of his toys.,Was the guess right?,quantifier,some,filler_item,control_true,https://i.imgur.com/xBBrOBm.jpg,https://imgur.com/Pb96ojz.jpg,https://i.imgur.com/VWibU6W.jpg
12,f3,Mary wants to eat something.,Her father makes a guess:,'She will eat some of the pasta.',Here's what happened:,She only ate ice-cream.,Was the guess right?,quantifier,none,filler_item,control_false,https://i.imgur.com/veU443S.jpg,https://imgur.com/Pb96ojz.jpg,https://i.imgur.com/mgqJX2J.jpg
13,f4,Victoria is looking forward to her party.,Her friend makes a guess:,'Some of the guests will wear birthday hats.',Here's what happened:,They all wore birthday hats.,Was the guess right?,quantifier,all,filler_item,target,https://i.imgur.com/2zP50Ae.jpg,https://imgur.com/Pb96ojz.jpg,https://i.imgur.com/QFqZw4p.jpg
14,f5,There's a theater premiere tonight.,The director makes a guess:,'Some of the actresses will be wearing hats.',Here's what happened:,Only some of them were wearing hats.,Was the guess right?,quantifier,some,filler_item,control_true,https://i.imgur.com/cCWSUrf.jpg,https://imgur.com/Pb96ojz.jpg,https://i.imgur.com/JgY4KVA.jpg
15,f6,The village is setting up for a fair.,Her son makes a guess:,'Some of the balloons will be blue.',Here's what happened:,All the balloons were red.,Was the guess right?,quantifier,none,filler_item,control_false,https://i.imgur.com/VPjlDLY.jpg,https://imgur.com/Pb96ojz.jpg,https://i.imgur.com/emCHyD9.jpg
16,f7,Maria finished gardening for today.,Her neighbor makes a guess:,'She will put some of the tools back in the shed.',Here's what happened:,She put everything back in the shed.,Was the guess right?,quantifier,all,filler_item,target,https://i.imgur.com/ssyd1Gy.jpg,https://imgur.com/Pb96ojz.jpg,https://i.imgur.com/PytS2R0.jpg
17,f8,It's a beautiful day for going outside.,Her mom makes a guess:,'Some people will bring sun umbrellas.',Here's what happened:,Only some people brought umbrellas.,Was the guess right?,quantifier,some,filler_item,control_true,https://imgur.com/B5karg0.jpg,https://imgur.com/Pb96ojz.jpg,https://imgur.com/i1pZuSx.jpg
18,f9,Carmen made hot chocolate for her son. ,His father makes a guess:,'He will drink some of it.',Here's what happened:,He didn't drink any of it. ,Was the guess right?,quantifier,none,filler_item,control_false,https://imgur.com/2ibuNJ4.jpg,https://imgur.com/Pb96ojz.jpg,https://imgur.com/ui1zTDz.jpg
19,f10,A tornado is coming.,His friend makes a guess: ,'Two trees will fall down.',Here's what happened:,Three trees fell down.,Was the guess right?,numeral,more than two,filler_item,target,https://i.imgur.com/ekg3dvE.jpg,https://imgur.com/Pb96ojz.jpg,https://imgur.com/LmNriZ5.jpg
20,f11,Joan wants to build something for her garden.,Her partner makes a guess:,'She will build two things.',Here's what happened:,She built a table and a chair.,Was the guess right?,numeral,two,filler_item,control_true,https://i.imgur.com/h9Lh64y.jpg,https://imgur.com/Pb96ojz.jpg,https://i.imgur.com/joGJ4mv.jpg
21,f12,Alex is cooking dinner for his mother.,His sister makes a guess:,'He will cook two different dishes.',Here's what happened:,He only cooked pasta.,Was the guess right?,numeral,less than two,filler_item,control_false,https://i.imgur.com/4UKNBuJ.jpg,https://imgur.com/Pb96ojz.jpg,https://i.imgur.com/QhI4uWD.jpg
22,f13,Emily wants to buy some plants.,Her daughter makes a guess:,'She will buy two plants.',Here's what happened:,She bought three plants. ,Was the guess right?,numeral,more than two,filler_item,target,https://imgur.com/95Ar3G5.jpg,https://imgur.com/Pb96ojz.jpg,https://imgur.com/YEj28m0.jpg
23,f14,It's Sofie's turn to clean the apartment.,Her roommate makes a guess:,'She will clean two rooms in the house.',Here's what happened:,She cleaned the bathroom and the kitchen.,Was the guess right?,numeral,two,filler_item,control_true,https://i.imgur.com/ynbSOjO.jpg,https://imgur.com/Pb96ojz.jpg,https://imgur.com/TqGZri7.jpg
24,f15,Jessica is competing in the Olympics.,Her coach makes a guess:,'She will win two medals.',Here's what happened:,She only won one medal.,Was the guess right?,numeral,less than two,filler_item,control_false,https://imgur.com/oBxaPE8.jpg,https://imgur.com/Pb96ojz.jpg,https://imgur.com/lBOJDAX.jpg
25,f16,Anton is going on a trip.,His travel buddy makes a guess:,'He will bring two suitcases.',Here's what happened:,He brought four pieces of luggage.,Was the guess right?,numeral,more than two,filler_item,target,https://imgur.com/sF4s3Sq.jpg,https://imgur.com/Pb96ojz.jpg,https://imgur.com/RTRB3mA.jpg
26,f17,Megan can hear laughter behind the house.,Her brother makes a guess:,'Two children are playing with a ball.',Here's what happened:,There were two children playing by the tree.,Was the guess right?,numeral,two,filler_item,control_true,https://imgur.com/NY4LELY.jpg,https://imgur.com/Pb96ojz.jpg,https://imgur.com/CWPa9KY.jpg
27,f18,Kyle is going shopping.,His mother makes a guess:,'He will buy two jackets.',Here's what happened:,He bought one jacket.,Was the guess right?,numeral,less than two,filler_item,control_false,https://imgur.com/BmZPqqF.jpg,https://imgur.com/Pb96ojz.jpg,https://imgur.com/d4COvfv.jpg
28,p1,Ruth is studying art. ,Her professor makes a guess:  ,'She will build a sculpture.',Here's what happened:,She painted a landscape. ,Was the guess right?,practice,practice,practice,practice_true,https://imgur.com/yfl7Zfm.jpg,https://imgur.com/Pb96ojz.jpg,https://imgur.com/ovf1XA0.jpg
29,p2,John loves hiking.  ,His partner makes a guess: ,'He will go climbing tomorrow.',Here's what happened:,He climbed a mountain.,Was the guess right?,practice,practice,practice,practice_falce,https://imgur.com/Y4ypK6T.jpg,https://imgur.com/Pb96ojz.jpg,https://imgur.com/jnB4TAm.jpg
